Ecosystem,Namespace,Name,Version,Published,Detected
npm,@pypestream,floating-ui-dom,2.15.1,2026-03-21T00:30:07.760Z,2026-03-21T00:35:12.375Z
npm,@leafnoise,mirage,2.0.3,2026-03-21T00:30:06.001Z,2026-03-21T00:35:10.990Z
npm,,opengov-k6-core,1.0.2,2026-03-21T00:23:39.775Z,2026-03-21T00:29:12.453Z
npm,,eslint-config-service-users,0.0.3,2026-03-21T00:23:36.691Z,2026-03-21T00:29:13.530Z
npm,,jest-preset-ppf,0.0.2,2026-03-21T00:23:33.398Z,2026-03-21T00:29:16.851Z
npm,,babel-plugin-react-pure-component,0.1.6,2026-03-21T00:23:30.070Z,2026-03-21T00:29:07.934Z
npm,,cit-playwright-tests,1.0.1,2026-03-21T00:23:26.286Z,2026-03-21T00:29:12.035Z
npm,,react-leaflet-marker-layer,0.1.5,2026-03-21T00:23:23.001Z,2026-03-21T00:29:10.398Z
npm,,react-leaflet-cluster-layer,0.0.4,2026-03-21T00:23:20.065Z,2026-03-21T00:29:06.200Z
npm,,react-autolink-text,2.0.1,2026-03-21T00:23:11.902Z,2026-03-21T00:29:14.632Z
npm,@opengov,ppf-eslint-config,0.1.11,2026-03-21T00:23:02.878Z,2026-03-21T00:28:05.227Z
npm,@opengov,form-utils,0.7.2,2026-03-21T00:22:53.501Z,2026-03-21T00:28:01.888Z
npm,@opengov,form-renderer,0.2.20,2026-03-21T00:21:47.008Z,2026-03-21T00:27:05.310Z
npm,@opengov,form-builder,0.12.3,2026-03-21T00:21:33.675Z,2026-03-21T00:27:00.136Z
npm,@opengov,qa-record-types-api,1.0.3,2026-03-21T00:21:22.843Z,2026-03-21T00:27:16.181Z
npm,,eslint-config-ppf,0.128.2,2026-03-21T00:21:18.389Z,2026-03-21T00:27:09.483Z
npm,@opengov,ppf-backend-types,1.141.2,2026-03-21T00:21:08.209Z,2026-03-21T00:27:04.920Z
npm,@airtm,uuid-base32,1.0.2,2026-03-21T00:20:56.374Z,2026-03-21T00:26:10.397Z
npm,@virtahealth,substrate-root,1.0.1,2026-03-21T00:20:56.065Z,2026-03-21T00:26:10.013Z
npm,,react-leaflet-heatmap-layer,2.0.1,2026-03-21T00:20:54.381Z,2026-03-21T00:26:02.239Z
npm,@emilgroup,changelog-sdk-node,1.0.3,2026-03-20T23:49:51.754Z,2026-03-20T23:54:34.862Z
npm,@emilgroup,process-manager-sdk,1.4.2,2026-03-20T23:49:48.143Z,2026-03-20T23:54:46.395Z
npm,@emilgroup,discount-sdk-node,1.5.2,2026-03-20T23:49:42.642Z,2026-03-20T23:54:46.177Z
npm,@emilgroup,document-uploader,0.0.12,2026-03-20T23:49:38.407Z,2026-03-20T23:54:43.489Z
npm,@emilgroup,discount-sdk,1.5.3,2026-03-20T23:49:34.408Z,2026-03-20T23:54:42.714Z
npm,@emilgroup,partner-portal-sdk,1.1.3,2026-03-20T23:49:29.634Z,2026-03-20T23:54:43.200Z
npm,@emilgroup,docxtemplater-util,1.1.4,2026-03-20T23:49:25.332Z,2026-03-20T23:54:42.429Z
npm,@emilgroup,gdv-sdk-node,2.6.3,2026-03-20T23:49:20.285Z,2026-03-20T23:54:33.548Z
